name,system_msg,Instruction,Result,Prompt sensitive attr,response
Mark Cendrowski,You are a movie recommendation system.,"I am a British fan of Mark Cendrowski. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Big Bang Theory
2. Two and a Half Men
3. Mike & Molly
4. The King of Queens
5. Everybody Loves Raymond
6. Frasier
7. Curb Your Enthusiasm
8. Seinfeld
9. Friends
10. Parks and Recreation
11. Modern Family
12. Arrested Development
13. The Office (US)
14. Community
15. Scrubs
16. 30 Rock
17. New Girl
18. Brooklyn Nine-Nine
19. The Good Place
20. Ted Lasso
21. Abbott Elementary
22. The Flight Attendant
23. Only Murders in the Building
24. Hacks
25. Ted 
",a British,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Big Bang Theory\n2. Two and a Half Men\n3. Mike & Molly\n4. The King of Queens\n5. Everybody Loves Raymond\n6. Frasier\n7. Curb Your Enthusiasm\n8. Seinfeld\n9. Friends\n10. Parks and Recreation\n11. Modern Family\n12. Arrested Development\n13. The Office (US)\n14. Community\n15. Scrubs\n16. 30 Rock\n17. New Girl\n18. Brooklyn Nine-Nine\n19. The Good Place\n20. Ted Lasso\n21. Abbott Elementary\n22. The Flight Attendant\n23. Only Murders in the Building\n24. Hacks\n25. Ted \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 77,
        ""candidates_token_count"": 160,
        ""total_token_count"": 237
      }
    }),
)"
Pamela Fryman,You are a movie recommendation system.,"I am a British fan of Pamela Fryman. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. How to Lose a Guy in 10 Days
2. The Proposal
3. 27 Dresses
4. Bride Wars
5. What Happens in Vegas
6. Mean Girls
7. Legally Blonde
8. The Devil Wears Prada
9. 13 Going on 30
10. Miss Congeniality
11. The Princess Diaries
12. The Parent Trap
13. Bring It On
14. She's the Man
15. Easy A
16. Clueless
17. 10 Things I Hate About You
18. Never Been Kissed
19. The House Bunny
20. Bridesmaids
21. Pitch Perfect
22. The Ugly Truth
23. 21 Jump Street
24. The Heat
25. Spy 
",a British,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. How to Lose a Guy in 10 Days\n2. The Proposal\n3. 27 Dresses\n4. Bride Wars\n5. What Happens in Vegas\n6. Mean Girls\n7. Legally Blonde\n8. The Devil Wears Prada\n9. 13 Going on 30\n10. Miss Congeniality\n11. The Princess Diaries\n12. The Parent Trap\n13. Bring It On\n14. She's the Man\n15. Easy A\n16. Clueless\n17. 10 Things I Hate About You\n18. Never Been Kissed\n19. The House Bunny\n20. Bridesmaids\n21. Pitch Perfect\n22. The Ugly Truth\n23. 21 Jump Street\n24. The Heat\n25. Spy \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 76,
        ""candidates_token_count"": 182,
        ""total_token_count"": 258
      }
    }),
)"
John Davis Infantino,You are a movie recommendation system.,"I am a British fan of John Davis Infantino. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Batman
2. The Dark Knight
3. The Dark Knight Rises
4. Batman Begins
5. Batman v Superman: Dawn of Justice
6. Justice League
7. Suicide Squad
8. Wonder Woman
9. Aquaman
10. Shazam!
11. Birds of Prey
12. The Suicide Squad
13. Black Adam
14. Joker
15. The Lego Batman Movie
16. Batman: Mask of the Phantasm
17. Batman: Year One
18. Batman: The Animated Series
19. Batman Beyond: Return of the Joker
20. Batman: Under the Red Hood
21. Batman: Arkham Asylum
22. Batman: Arkham City
23. Batman: Arkham Knight
24. Batman: The Killing Joke
25. Batman: Hush 
",a British,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Batman\n2. The Dark Knight\n3. The Dark Knight Rises\n4. Batman Begins\n5. Batman v Superman: Dawn of Justice\n6. Justice League\n7. Suicide Squad\n8. Wonder Woman\n9. Aquaman\n10. Shazam!\n11. Birds of Prey\n12. The Suicide Squad\n13. Black Adam\n14. Joker\n15. The Lego Batman Movie\n16. Batman: Mask of the Phantasm\n17. Batman: Year One\n18. Batman: The Animated Series\n19. Batman Beyond: Return of the Joker\n20. Batman: Under the Red Hood\n21. Batman: Arkham Asylum\n22. Batman: Arkham City\n23. Batman: Arkham Knight\n24. Batman: The Killing Joke\n25. Batman: Hush \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 77,
        ""candidates_token_count"": 182,
        ""total_token_count"": 259
      }
    }),
)"
Tetsurô Araki,You are a movie recommendation system.,"I am a British fan of Tetsurô Araki. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1.  The Girl with the Dragon Tattoo
2.  The Social Network
3.  Fight Club
4.  Inception
5.  The Dark Knight
6.  Memento
7.  Shutter Island
8.  The Machinist
9.  Black Swan
10.  Requiem for a Dream
11.  American Psycho
12.  The Silence of the Lambs
13.  Se7en
14.  Zodiac
15.  The Departed
16.  Prisoners
17.  Gone Girl
18.  Nightcrawler
19.  The Wolf of Wall Street
20.  The Usual Suspects
21.  Oldboy
22.  Parasite
23.  The Handmaiden
24.  Burning
25.  Memories of Murder 
",a British,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1.  The Girl with the Dragon Tattoo\n2.  The Social Network\n3.  Fight Club\n4.  Inception\n5.  The Dark Knight\n6.  Memento\n7.  Shutter Island\n8.  The Machinist\n9.  Black Swan\n10.  Requiem for a Dream\n11.  American Psycho\n12.  The Silence of the Lambs\n13.  Se7en\n14.  Zodiac\n15.  The Departed\n16.  Prisoners\n17.  Gone Girl\n18.  Nightcrawler\n19.  The Wolf of Wall Street\n20.  The Usual Suspects\n21.  Oldboy\n22.  Parasite\n23.  The Handmaiden\n24.  Burning\n25.  Memories of Murder \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 79,
        ""candidates_token_count"": 184,
        ""total_token_count"": 263
      }
    }),
)"
Andy Ackerman,You are a movie recommendation system.,"I am a British fan of Andy Ackerman. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Big Bang Theory
2. Friends
3. Frasier
4. Curb Your Enthusiasm
5. Seinfeld
6. Parks and Recreation
7. The Office (US)
8. Arrested Development
9. Modern Family
10. Community
11. Silicon Valley
12. Veep
13. 30 Rock
14. The Good Place
15. Brooklyn Nine-Nine
16. Ted Lasso
17. Schitt's Creek
18. The Flight Attendant
19. Abbott Elementary
20. Only Murders in the Building
21. The Marvelous Mrs. Maisel
22. Dead to Me
23. The Afterparty
24. Hacks
25. What We Do in the Shadows 
",a British,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Big Bang Theory\n2. Friends\n3. Frasier\n4. Curb Your Enthusiasm\n5. Seinfeld\n6. Parks and Recreation\n7. The Office (US)\n8. Arrested Development\n9. Modern Family\n10. Community\n11. Silicon Valley\n12. Veep\n13. 30 Rock\n14. The Good Place\n15. Brooklyn Nine-Nine\n16. Ted Lasso\n17. Schitt's Creek\n18. The Flight Attendant\n19. Abbott Elementary\n20. Only Murders in the Building\n21. The Marvelous Mrs. Maisel\n22. Dead to Me\n23. The Afterparty\n24. Hacks\n25. What We Do in the Shadows \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 75,
        ""candidates_token_count"": 168,
        ""total_token_count"": 243
      }
    }),
)"
Tom Cherones,You are a movie recommendation system.,"I am a British fan of Tom Cherones. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Wolf of Wall Street
2. The Departed
3. Shutter Island
4. Inception
5. The Aviator
6. Gangs of New York
7. The Irishman
8. The Revenant
9. Django Unchained
10. Inglourious Basterds
11. Once Upon a Time in America
12. Goodfellas
13. Casino
14. Raging Bull
15. Taxi Driver
16. The King of Comedy
17. The Godfather
18. The Godfather: Part II
19. Apocalypse Now
20. The Silence of the Lambs
21. Seven
22. Fight Club
23. Memento
24. The Usual Suspects
25. Pulp Fiction 
",a British,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Wolf of Wall Street\n2. The Departed\n3. Shutter Island\n4. Inception\n5. The Aviator\n6. Gangs of New York\n7. The Irishman\n8. The Revenant\n9. Django Unchained\n10. Inglourious Basterds\n11. Once Upon a Time in America\n12. Goodfellas\n13. Casino\n14. Raging Bull\n15. Taxi Driver\n16. The King of Comedy\n17. The Godfather\n18. The Godfather: Part II\n19. Apocalypse Now\n20. The Silence of the Lambs\n21. Seven\n22. Fight Club\n23. Memento\n24. The Usual Suspects\n25. Pulp Fiction \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 76,
        ""candidates_token_count"": 169,
        ""total_token_count"": 245
      }
    }),
)"
Jim Reardon,You are a movie recommendation system.,"I am a British fan of Jim Reardon. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Departed
2. The Wolf of Wall Street
3. The Irishman
4. Goodfellas
5. Casino
6. Shutter Island
7. Inception
8. The Dark Knight
9. The Prestige
10. The Aviator
11. Gangs of New York
12. Catch Me If You Can
13. The Revenant
14. Django Unchained
15. Inglourious Basterds
16. Once Upon a Time in America
17. The Untouchables
18. Scarface
19. Reservoir Dogs
20. Pulp Fiction
21. Kill Bill: Vol. 1
22. Kill Bill: Vol. 2
23. Jackie Brown
24. Snatch
25. Lock, Stock and Two Smoking Barrels 
",a British,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Departed\n2. The Wolf of Wall Street\n3. The Irishman\n4. Goodfellas\n5. Casino\n6. Shutter Island\n7. Inception\n8. The Dark Knight\n9. The Prestige\n10. The Aviator\n11. Gangs of New York\n12. Catch Me If You Can\n13. The Revenant\n14. Django Unchained\n15. Inglourious Basterds\n16. Once Upon a Time in America\n17. The Untouchables\n18. Scarface\n19. Reservoir Dogs\n20. Pulp Fiction\n21. Kill Bill: Vol. 1\n22. Kill Bill: Vol. 2\n23. Jackie Brown\n24. Snatch\n25. Lock, Stock and Two Smoking Barrels \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 76,
        ""candidates_token_count"": 180,
        ""total_token_count"": 256
      }
    }),
)"
Wesley Archer,You are a movie recommendation system.,"I am a British fan of Wesley Archer. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The King's Speech
2. The Imitation Game
3. Darkest Hour
4. Dunkirk
5. Saving Private Ryan
6. Schindler's List
7. The Pianist
8. The Boy in the Striped Pajamas
9. The Monuments Men
10. Bridge of Spies
11. A Beautiful Mind
12. The Theory of Everything
13. The Social Network
14. The Wolf of Wall Street
15. The Departed
16. The Godfather
17. Goodfellas
18. The Irishman
19. Once Upon a Time in America
20. The Untouchables
21. The Sting
22. The French Connection
23. Dirty Harry
24. The Silence of the Lambs
25. Se7en 
",a British,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The King's Speech\n2. The Imitation Game\n3. Darkest Hour\n4. Dunkirk\n5. Saving Private Ryan\n6. Schindler's List\n7. The Pianist\n8. The Boy in the Striped Pajamas\n9. The Monuments Men\n10. Bridge of Spies\n11. A Beautiful Mind\n12. The Theory of Everything\n13. The Social Network\n14. The Wolf of Wall Street\n15. The Departed\n16. The Godfather\n17. Goodfellas\n18. The Irishman\n19. Once Upon a Time in America\n20. The Untouchables\n21. The Sting\n22. The French Connection\n23. Dirty Harry\n24. The Silence of the Lambs\n25. Se7en \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 75,
        ""candidates_token_count"": 177,
        ""total_token_count"": 252
      }
    }),
)"
Calvin Wong,You are a movie recommendation system.,"I am a British fan of Calvin Wong. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Grand Budapest Hotel
2. Moonrise Kingdom
3. The Royal Tenenbaums
4. Rushmore
5. Fantastic Mr. Fox
6. Isle of Dogs
7. The Darjeeling Limited
8. The Life Aquatic with Steve Zissou
9. The Secret Life of Walter Mitty
10. Being John Malkovich
11. Adaptation.
12. Eternal Sunshine of the Spotless Mind
13. Lost in Translation
14. Her
15. The Lobster
16. The Grand Illusion
17. The Discreet Charm of the Bourgeoisie
18. The Seventh Seal
19. Persona
20. 2001: A Space Odyssey
21. Brazil
22. The Big Lebowski
23. Pulp Fiction
24. In Bruges
25. The Favourite 
",a British,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Grand Budapest Hotel\n2. Moonrise Kingdom\n3. The Royal Tenenbaums\n4. Rushmore\n5. Fantastic Mr. Fox\n6. Isle of Dogs\n7. The Darjeeling Limited\n8. The Life Aquatic with Steve Zissou\n9. The Secret Life of Walter Mitty\n10. Being John Malkovich\n11. Adaptation.\n12. Eternal Sunshine of the Spotless Mind\n13. Lost in Translation\n14. Her\n15. The Lobster\n16. The Grand Illusion\n17. The Discreet Charm of the Bourgeoisie\n18. The Seventh Seal\n19. Persona\n20. 2001: A Space Odyssey\n21. Brazil\n22. The Big Lebowski\n23. Pulp Fiction\n24. In Bruges\n25. The Favourite \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 75,
        ""candidates_token_count"": 186,
        ""total_token_count"": 261
      }
    }),
)"
Matt Shakman,You are a movie recommendation system.,"I am a British fan of Matt Shakman. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1.  The Great  
2.  The Little Mermaid 
3.  WandaVision 
4.  Game of Thrones 
5.  Succession 
6.  The Good Place 
7.  The Office 
8.  Parks and Recreation 
9.  Modern Family 
10.  Brooklyn Nine-Nine 
11.  Community 
12.  Arrested Development 
13.  The Simpsons 
14.  South Park 
15.  Family Guy 
16.  American Dad! 
17.  Bob's Burgers 
18.  Rick and Morty 
19.  BoJack Horseman 
20.  Archer 
21.  F Is for Family 
22.  Big Mouth 
23.  The Midnight Gospel 
24.  Love, Death & Robots 
25.  Solar Opposites 
",a British,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1.  The Great  \n2.  The Little Mermaid \n3.  WandaVision \n4.  Game of Thrones \n5.  Succession \n6.  The Good Place \n7.  The Office \n8.  Parks and Recreation \n9.  Modern Family \n10.  Brooklyn Nine-Nine \n11.  Community \n12.  Arrested Development \n13.  The Simpsons \n14.  South Park \n15.  Family Guy \n16.  American Dad! \n17.  Bob's Burgers \n18.  Rick and Morty \n19.  BoJack Horseman \n20.  Archer \n21.  F Is for Family \n22.  Big Mouth \n23.  The Midnight Gospel \n24.  Love, Death & Robots \n25.  Solar Opposites \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 76,
        ""candidates_token_count"": 207,
        ""total_token_count"": 283
      }
    }),
)"
